NP_RLSE_YMD,MD_재고비용,MD_하역비,MD_결품기회비용,MD_총비용,ML_재고비용,ML_하역비,ML_결품기회비용,ML_총비용,절감액(MD-ML),MD_재고비용_누적,MD_하역비_누적,MD_결품기회비용_누적,MD_총비용_누적,ML_재고비용_누적,ML_하역비_누적,ML_결품기회비용_누적,ML_총비용_누적,절감액(MD-ML)_누적
2025-10-01,61134354.624618396,1404360.0,2397492.0,64936206.624618396,34346922.144383565,1385730.0,0.0,35732652.144383565,29203554.48023483,318861089.3473581,68762880.0,51256305.0,438880274.34735817,261700809.0759883,67132350.0,40878836.0,369711995.07598823,69168279.27136987
2025-10-15,6111040.615870842,2305530.0,1352198.9999999998,9768769.61587084,7198192.417475538,2521530.0,1150279.9999999998,10870002.417475538,-1101232.8016046975,324972129.96322894,71068410.0,52608504.0,448649043.963229,268899001.4934638,69653880.0,42029116.0,380581997.49346375,68067046.46976517
2025-10-22,8317662.016986301,1271970.0,0.0,9589632.016986301,6883498.654657534,1169820.0,211650.00000000067,8264968.654657535,1324663.362328766,333289791.98021525,72340380.0,52608504.0,458238675.9802153,275782500.14812136,70823700.0,42240766.0,388846966.1481213,69391709.83209394
2025-10-29,40467745.446105674,6077070.0,11136006.000000002,57680821.446105674,38133859.13041096,5513580.0,22692.00000000027,43670131.13041096,14010690.315694712,373757537.4263209,78417450.0,63744510.0,515919497.42632097,313916359.2785323,76337280.0,42263458.0,432517097.27853227,83402400.14778864
2025-10-31,20782536.495342467,830250.0,0.0,21612786.495342467,10427838.799178082,602730.0,0.0,11030568.799178082,10582217.696164384,394540073.9216634,79247700.0,63744510.0,537532283.9216634,324344198.0777104,76940010.0,42263458.0,443547666.07771033,93984617.84395303
2025-11-05,2331741.580117417,560250.0,1015200.0,3907191.5801174166,2523651.45,585810.0,371791.00000000023,3481252.45,425939.1301174164,396871815.5017808,79807950.0,64759710.0,541439475.5017809,326867849.5277104,77525820.0,42635249.0,447028918.5277103,94410556.97407044
2025-11-12,2158683.377005871,544950.0,317225.0,3020858.377005871,2212117.489041096,578340.0,60546.000000000146,2851003.489041096,169854.88796477485,399030498.8787867,80352900.0,65076935.0,544460333.8787867,329079967.01675147,78104160.0,42695795.0,449879922.0167514,94580411.86203521
2025-11-19,5304174.638630137,4513680.0,7.849028094142341e-10,9817854.638630139,4020598.0706849317,4751010.0,68183.99999999994,8839792.070684932,978062.5679452065,404334673.51741683,84866580.0,65076935.0,554278188.5174168,333100565.0874364,82855170.0,42763979.0,458719714.0874363,95558474.42998043
2025-11-26,20523066.40657534,5298840.0,4313108.0,30135014.40657534,14021505.859041095,4723920.0,2312683.9999999995,21058109.859041095,9076904.547534246,424857739.92399216,90165420.0,69390043.0,584413202.9239922,347122070.9464775,87579090.0,45076663.0,479777823.9464774,104635378.97751467
2025-12-03,6725593.614500979,3108510.0,5979925.0,15814028.614500979,6951026.061643836,3213810.0,21666.000000000135,10186502.061643835,5627526.552857144,431583333.53849316,93273930.0,75369968.0,600227231.5384932,354073097.0081213,90792900.0,45098329.0,489964326.00812125,110262905.53037181
2025-12-05,378284.1316046967,351270.0,8412540.0,9142094.131604696,923185.3616438357,527310.0,0.0,1450495.3616438357,7691598.76996086,431961617.6700978,93625200.0,83782508.0,609369325.6700978,354996282.36976516,91320210.0,45098329.0,491414821.3697651,117954504.30033268
2025-12-10,4130570.2010958903,989730.0,7836862.0,12957162.20109589,4710904.696712329,1051200.0,528701.9999999998,6290806.696712329,6666355.504383561,436092187.8711937,94614930.0,91619370.0,622326487.8711938,359707187.0664775,92371410.0,45627031.0,497705628.0664774,124620859.80471624
2025-12-11,310843.0405479452,148860.0,0.0,459703.0405479452,340791.0309589041,158130.0,0.0,498921.0309589041,-39217.99041095894,436403030.9117417,94763790.0,91619370.0,622786190.9117417,360047978.09743637,92529540.0,45627031.0,498204549.0974363,124581641.81430529
2025-12-17,4934042.122191781,1637190.0,19860.000000000036,6591092.122191781,4674521.019217221,1526760.0,592820.0000000002,6794101.019217221,-203008.8970254399,441337073.03393346,96400980.0,91639230.0,629377283.0339335,364722499.11665356,94056300.0,46219851.0,504998650.1166535,124378632.91727985
2025-12-24,11851029.736086106,8655120.0,2104149.999999999,22610299.736086104,11410624.70590998,8115750.0,695187.9999999993,20221562.70590998,2388737.0301761255,453188102.7700196,105056100.0,93743380.0,651987582.7700197,376133123.8225635,102172050.0,46915039.0,525220212.82256347,126767369.94745597
